nb_repet;gallery_size;nb_probes;im_per_pers;db_test;model name;thresh;distance metric;Nb_inst_probes;With_synthet;nb_correct_vote;nb_correct_dist;EER;ComputationTime
6;20;5;6;lfw;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;10;Manhattan;;;1.0;1.3333333333333333;;81.77286982536316
6;20;5;6;lfw;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;8;Manhattan;;;1.0;2.3333333333333335;;84.85124182701111
6;20;5;6;lfw;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;6;Manhattan;;;1.8333333333333333;1.6666666666666667;;83.10234713554382
6;20;5;6;lfw;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;4;Manhattan;;;1.1666666666666667;1.6666666666666667;;81.41190719604492
6;20;5;6;lfw;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;3;Manhattan;;;1.0;1.8333333333333333;;81.18697810173035
6;20;5;6;testdb;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;10;Manhattan;;;1.0;1.1666666666666667;;88.75483703613281
6;20;5;6;testdb;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;8;Manhattan;;;1.0;1.0;;86.89075803756714
6;20;5;6;testdb;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;6;Manhattan;;;0.8333333333333334;1.6666666666666667;;83.237300157547
6;20;5;6;testdb;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;4;Manhattan;;;1.0;1.1666666666666667;;81.75311803817749
6;20;5;6;testdb;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;3;Manhattan;;;1.5;0.3333333333333333;;83.40371894836426
6;20;5;7;cfp;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;10;Manhattan;;;2.3333333333333335;2.5;;272.8862428665161
6;20;5;7;cfp;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;8;Manhattan;;;2.8333333333333335;3.1666666666666665;;280.1416471004486
6;20;5;7;cfp;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;6;Manhattan;;;2.0;3.0;;282.344486951828
6;20;5;7;cfp;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;4;Manhattan;;;1.6666666666666667;3.0;;275.6805922985077
6;20;5;7;cfp;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;3;Manhattan;;;1.5;1.8333333333333333;;266.9435987472534
6;20;5;7;gbrieven;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;10;Manhattan;;;1.6666666666666667;2.0;;393.3103392124176
6;20;5;7;gbrieven;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;8;Manhattan;;;1.0;0.8333333333333334;;316.0861120223999
6;20;5;7;gbrieven;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;6;Manhattan;;;1.6666666666666667;1.3333333333333333;;393.53614377975464
6;20;5;7;gbrieven;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;4;Manhattan;;;1.6666666666666667;1.1666666666666667;;303.6978690624237
6;20;5;7;gbrieven;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;3;Manhattan;;;1.1666666666666667;1.3333333333333333;;322.0072078704834
6;20;5;7;faceScrub;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;10;Manhattan;;;1.0;1.5;;338.4601221084595
6;20;5;7;faceScrub;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;8;Manhattan;;;0.5;1.5;;294.58172607421875
6;20;5;7;faceScrub;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;6;Manhattan;;;0.5;1.6666666666666667;;303.0580139160156
6;20;5;7;faceScrub;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;4;Manhattan;;;0.5;1.3333333333333333;;312.7557430267334
6;20;5;7;faceScrub;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;3;Manhattan;;;0.8333333333333334;1.1666666666666667;;291.5122399330139
6;20;5;7;lfw;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;10;Manhattan;;;1.1666666666666667;1.5;;86.54623889923096
6;20;5;7;lfw;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;8;Manhattan;;;1.5;2.5;;86.28182101249695
6;20;5;7;lfw;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;6;Manhattan;;;1.6666666666666667;2.1666666666666665;;84.63968801498413
6;20;5;7;lfw;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;4;Manhattan;;;2.0;2.0;;84.171954870224
6;20;5;7;lfw;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;3;Manhattan;;;1.3333333333333333;2.1666666666666665;;83.72470879554749
6;20;5;7;testdb;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;10;Manhattan;;;1.0;0.6666666666666666;;84.76373505592346
6;20;5;7;testdb;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;8;Manhattan;;;0.8333333333333334;0.8333333333333334;;84.29802584648132
6;20;5;7;testdb;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;6;Manhattan;;;0.3333333333333333;0.5;;82.75579714775085
6;20;5;7;testdb;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;4;Manhattan;;;1.3333333333333333;1.1666666666666667;;83.40031409263611
6;20;5;7;testdb;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;3;Manhattan;;;0.3333333333333333;1.0;;85.04742288589478
6;20;5;8;cfp;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;10;Manhattan;;;2.5;2.0;;309.1360149383545
6;20;5;8;cfp;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;8;Manhattan;;;2.3333333333333335;2.0;;287.5892291069031
6;20;5;8;cfp;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;6;Manhattan;;;2.3333333333333335;3.1666666666666665;;279.8295819759369
6;20;5;8;cfp;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;4;Manhattan;;;1.5;1.6666666666666667;;275.9129431247711
6;20;5;8;cfp;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;3;Manhattan;;;2.8333333333333335;3.0;;273.17657017707825
6;20;5;8;gbrieven;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;10;Manhattan;;;0.8333333333333334;1.3333333333333333;;349.67986011505127
6;20;5;8;gbrieven;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;8;Manhattan;;;1.1666666666666667;1.3333333333333333;;309.5849390029907
6;20;5;8;gbrieven;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;6;Manhattan;;;1.5;0.6666666666666666;;343.780800819397
6;20;5;8;gbrieven;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;4;Manhattan;;;0.6666666666666666;0.8333333333333334;;330.023264169693
6;20;5;8;gbrieven;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;3;Manhattan;;;1.0;1.0;;348.8729181289673
6;20;5;8;faceScrub;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;10;Manhattan;;;0.5;1.0;;283.55032229423523
6;20;5;8;faceScrub;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;8;Manhattan;;;0.3333333333333333;1.3333333333333333;;291.7768850326538
6;20;5;8;faceScrub;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;6;Manhattan;;;0.0;0.8333333333333334;;284.84154176712036
6;20;5;8;faceScrub;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;4;Manhattan;;;0.6666666666666666;1.3333333333333333;;321.4411220550537
6;20;5;8;faceScrub;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;3;Manhattan;;;0.6666666666666666;1.0;;286.3342320919037
6;20;5;8;lfw;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;10;Manhattan;;;1.0;1.6666666666666667;;81.65271496772766
6;20;5;8;lfw;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;8;Manhattan;;;1.6666666666666667;1.5;;80.68277716636658
6;20;5;8;lfw;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;6;Manhattan;;;3.0;1.8333333333333333;;82.76303696632385
6;20;5;8;lfw;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;4;Manhattan;;;0.8333333333333334;1.1666666666666667;;80.64779591560364
6;20;5;8;lfw;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;3;Manhattan;;;1.3333333333333333;2.1666666666666665;;81.5440149307251
6;20;5;8;testdb;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;10;Manhattan;;;1.3333333333333333;1.0;;81.48848986625671
6;20;5;8;testdb;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;8;Manhattan;;;0.5;1.3333333333333333;;82.65225625038147
